text,sarcasm,sentiment
place lot reviews im glad doesnt dont need get ages looks youre ambiance dont bother pretend youre movie set pittsburgh years ago works pretty well service sometimes hit miss girls good one slow one amazing friendly usually different people check make sure youre happy everything made fresh prepared nothing comes flying kitchen busy times take good get food nnthe food awesome worth little complaints might think gets table forget huge ways norfolk style oily taste never growing st rib sized two watch itnnthe prices low portions large everything menu delicious im not one pick place give lot food like good value dont want compromise taste place gem,sarcastic,very positive
old mom n pop quality perfection best fish chips youll ever enjoy equally superb fried shrimp great way noncorporate vestige americana love,sarcastic,very positive
good fish sandwich,non-sarcastic,very positive
morning thrift store hunting friend thinking lunch suggested emils hed seen chris sebak bit tried time two not said decent reuben prepared step back timennwell seeing im kind addicted late early whole rat pack scene stepping back time welcomed change da long doesnt involve see around every daynnand yet another shot finding decent reuben da thats like hunting holy grail looking one bush certainly wouldnt go right lunchtime middle exactly first thought lost driving around handful rather dismal looking blocks looked like neighborhood blighted building highway yep little unassuming building addon entrance looked like old hand painted sign stating quite simply emils nnwe walked front door entered another world another time another place oh big foodies might well stop reading wouldnt want see walk roll eyes say old world barloungerestaurant gets plain dark wood bar one side plain white walls no yinzer pics good sturdy chairs actual white linens tables kind neighborhood dive could see frank dino pulling tables together poker fish sammich cheap scotch exactly good food counts nnwe reuben friend side fries reubens decent not ny awesome little thick bread overall tasty definitely filling not skimpy meat seriously crave true good ny reuben since cant afford travel right find da burgh sat ate burgers came adjoining table big thick burgers steak went past table behind us huge asked waitress said yeah huge really good charges aint nuts another table five came wham fish sandwiches piled breaded fish looked amazing yeah want thatnnmy friend also mentioned chicken parm special one day week served pm fantastic could get week day nnthe waitress good job especially since quite growing crowd lunchtime saturday one kept friendly nnthey pepsi products brewed iced tea fresh pop ask refills often could lunch hour went getting no frills good portions reasonable prices comfortable neighborhood hole like cheers blue collar neighborhood fanfreakintastic could feel home herennyou definitely want hit mapquest plug gps though not sure could find really hidden gem making friend take back memorize heck nd visit fish sandwich excellent truly pound fish fishshaped bun opposed da burghs seemingly popular hamburger bun fish flavorful batter excellent may best fish sandwich ive yet da burgh,sarcastic,very positive
great townie bar tasty food interesting clientele went check place way home airport one friday night didnt disappoint refreshing walk townie bar not feel like music stops everyone place staring im guessing mixed crowd older hockey fans young men collared shirts thirtysomethings probably seen time place nnthe staff top notch orders somewhat overwhelming appeared shortstaffed night waitress tried keep positive attitude entire visit waiter wearing hooded cardigan wanted steal due difficulty finding quality article ordered white pizza large size engulfed cheese full garlic flavor flavorful hot sausage overall delicious pizza aside things way much grease know comes territory still sometimes unbearable canned mushrooms worst thing come ever would rather eat canned alpo canned mushrooms mushrooms werent canned worst mushrooms ive ever consumed mushroom debacle enough lower review entire star disgustingnnmy advice place keep everything awesome random music jukebox tasty food great prices good crowd staff get decent mushrooms spoil otherwise average pie inferior crap ill never know,sarcastic,positive
good beer selection understaffed light monday night crowd wasnt fault server took hour get sandwiches mine one best reubens ive ever,non-sarcastic,neutral
disappointed customer service ordered reubens wanted coleslaw instead kraut charged us coleslaw not back iced tea also terrible tasting,non-sarcastic,negative
let no question owns best cheeseburger region decades try burger italian bread service flawlessly friendly food amazing wings oh wings still cheeseburger atmosphere inviting cant eat atmosphere go right grab car keys know youre hungry amazing cheeseburger maybe wings cold beer easily hands best bar grill pittsburgh,non-sarcastic,very positive
used go tires brakes etc prices gone way midlevel tires toyota plus new tires went flat within weeks since dont make appointments wait get tire looked hours wait long get warranted repair lost business good,non-sarcastic,very negative
terrible preordered tires arrived couldnt find order anywhere got process waited hours put originally told would take mins slow priced ill go elsewhere next time,non-sarcastic,very negative
last summer appointment get new tires wait super long time also went week fix minor problem tire put fixed free next morning issue called complain manager didnt even apologize frustrated never going back seem overpriced,non-sarcastic,very negative
start saying nice new deck good part two stars nice deck well started may man named al come talk us process true salesman ill tell not straight shooter excited salesman wanted sell bought itnnhe told us backed harsh winter lot jobs could probably start june th mind end may met said would survey land get permit dormont started felt confident going booked itnnheres things fell apart weeks went no word process finally called left messages al finally got touch conversation utterly confusing must not understood kept talking circles hung not knowing going finally called back admin told survey could take couple weeks come back wish al would told us thatnnso june th date came went finally got survey quick bill us no word process called back couple times no real answers admin apparently waiting permit month later frustrated asked speak someone company spoke someone told dormont usually takes week process permit going month told would bug guy finally got nni completely understand waiting permit not fault no communication call tell theyre waiting permit theyll work towards asking dormont hold seems get permit work supposed start tuesday comes wait approval dormont holes theyre digging holes dug equipment put backyard nothing happens two days everyone go knows wasnt informed nni upset contacted company owner dave email told frustrated lack communication wrote two sentences said acres tomorrow morning finish done tomorrow well didnt happennnthen two dudes show two days later work three hours left main guy comes back next day says wrong apparently part wouldnt need access house changes theyre drilling bolts house secure deck nnfinally second week construction tiny x foot deck done upsetting left deck dirty dirt cement moved around wasnt cleaned even asked fill holes dug didnt use filled one create construction project isnt good business clean make look nice didnt happen herennmy main point contractors reputation not trustworthy company not upstanding company consumers trust main issues things not communicated properly front ongoing process communicated left everything unfinished eyes leaving site dirty understand things happen things get delayed email call not hard keep updated million ways though nice deck clean things would not recommend anyone,non-sarcastic,negative
heart kings ive always fan one good old one,non-sarcastic,positive
average run mill store associates young teens really dont know anything luckily able get around find everything found puppy treats moved,non-sarcastic,negative
two meals recommendation friend lives near place second trip compelled write rocky would definitely describe first trip went try reuben yet find true good reuben da burgh tried itnnwell proper bread guy run store buy closest thing could find not proper bread instead one raved reubens received two basically took guts one reuben spread onto two sandwiches regular sized bread ate wasnt great swore theyd run bread bread not still wasnt great atmosphere pleasant blue collar bar kind way staff nice not winning pitch second trip long day moving furniture friend sat back room instead bar felt like restaurant course big screen tv covering sports momentnni mood dinner time scan decided fried chicken mashed potatoes salad bar friend ordered one faves breaded pork hit salad bar three soups mostly vegetable loaded left basic iceberg lettuce mix probably bag veggie toppings three four dressings basic salad no big deal less appetizer filler mealnnthe trip ordering fried chicken dinner waiter looked like year old gas station attendant skinny little blonde guy sweet incredibly naive face air confirmed placed order asked chicken pieces came dinner asked possible get dark meat never imagined confusing question could possibly literally took two trips back kitchen ask child honestly no clue white meat dark meat meant first answer came back chicken came preportioned prepared bag kind kentucky fried chicken stylewhich didnt answer question thus prompting second trip nnafter second trip back heard cook holler tell ill fix nnwell chicken prepackaged dreck like youd find freezer case walmart tiny not good potatoes slight tinge flavor laden kind chopped green parsley side basic brown gravy served gallon goodness basic salad barnneven friend admitted pork chops different not shed expected also appeared freezer bagnnthe irony boy didnt know white meat dark meat chatting genius mindless sport baseball ahhhh da base bother many options around go grab beer chat black gold happen help types ways area dont go hungry actually understand used really good homecooked food apparently mama left kitchen,sarcastic,negative
rockys business since still going strong food good not haute cuisine pretentious everyday well prepared taste bud pleasing home style cooking ive mostly gone supper hours ate dining room today introduced old friend linner ordered large version fish sandwich rockys famous fish three large breaded fried fish filets bun fries needless say no complaints brought home ordered meatball grill delish served thick cut italian bread made grilled cheese mozzarella style meatballs tomato sauce good also served fries brought home half good meal friends mother former boss enjoy food,non-sarcastic,positive
want true understanding pittsburgh morning come greasy spoon always packed one better kind south serve waffles halves great eggs toast good homemade hot sausage excellent drawback barely cooked youre hungry get mixed grill gab eats brand kitchen sink breakfast midwest places,non-sarcastic,neutral
cheap unpretentious one favorite breakfast joints country simply put love mixed grill sausage egg biscuit home fries definition diner thank gab n eat,non-sarcastic,very positive
miss place return home pittsburgh always must ease saturday morning recovery getting banged cheap south side cocktails night think pittsburgh remember cutting morning classes highschool get best bacon egg cheese know honestly live nyc get bacon egg cheese every single corner nowhere well joint go happy,non-sarcastic,positive
love place never bad meal good portions great people ready stand line,sarcastic,very positive
ok cash places pittsburgh appreciate smaller businesses might trouble installing credit card system could perhaps provide atm past would deter eating place nnlooking standard breakfast menu decided go tuna melt instead got cold tuna salad sandwich slice cheese toast ordered melt mood warm meal no avail one day later cant even remember side suppose didnt leave much impression say dessert really good cherry pecan pie not seen concoction anywhere else awesome cherries not sweet canned variety pie worthy tart topped sugar think want make pie parents next harvest cherry first impression eh learning crazy pittsburghers breakfast seriously waiting minutes table tiny diner menu reads follows nn eggs toast eggs meat toast eggs pancake rather go dennys order create grand slam,non-sarcastic,neutral
best diner weve many famous diners across country still give gab eat best rating little intimidated first walked like pounds butter sitting top grill looking healthy breakfast probably accomodate everything ate clearly opposite healthy trying like every meal would recommend mix unless sharing adding cajun seasoning texas toast burgers great toonnits hard find place makes better breakfast could make home place atmosphere classy old school americana,sarcastic,very positive
great breakfast good price might stand outside line though dont really recommend winter time go lol friendly service interesting coffee mugs great deserts also bring cash though dont take cards,sarcastic,positive
always love good diner gab eat looking saturday morning good food great people pittsburgh ambiance nnthis place obviously beloved neighborhood gem french toast bacon french toast made best italian bread fiance called mixed grill consisted eggs peppers onions home made sausage not something would eat everyday loved also great coffee actually ground beans front us thats freshnnwe want return sometime turkey day apparently made fresh turkey every tuesday sounds goodnncant wait return,sarcastic,very positive
coming gab n eat almost years never let get typical breakfast eggs ham toast home fries delicious usual ambience however usually lacking walls dark writing signatures semi famous people place pictures local people hang wallsi secretly want mine along posters galore fun look first times gets little boring awhile today arrived expected old experience wow wrong soon looked door knew something different place seemed lighter brighter pleasant surprise painted got new counter tops theyre not quite done yet place new happy vibe awesome breakfast new decor guys sitting counter making laugh back maybe lunch,non-sarcastic,very positive
find stopped breakfast town business service friendly thought south service quick frankly felt like family nfantastic poached eggs cajun homefries crispy bacon gab eat definitely place world recommend locals stuffed bill,non-sarcastic,very positive
great little place treats like times week month overtime barb always,sarcastic,very positive
first time going barbs country junction really wanted like place really didntnnthe food decent average overall decent got pancakes bacon eggs pancakes really good fluffy home fries simply okay eggs not cooked well son burger good coffee place brewed perfection appreciate would give food nnthe service subpar sure waitress really nice girl wasnt top anything ask coffee refills ask silverware got order messed give service nnthe inside place country charm youd expect want particularly cleanly also leaky roof several places buckets collecting water customer even tripped buckets fell give interior nnthe prices decent fed whole family breakfast us give prices nnso summary get okay food rather cheap price not great place dine means better diners area patronize future rather barbs,sarcastic,negative
husband tried place first time today easy find no problems parking seat no signs stating stood looking like fools minute took awhile waitress acknowledge us im guessing barb apologized said one workers called today no big deal apology appreciated came back drinks dropped left didnt see another minutes ultimately minutes took order aggravating dont mind waiting food know going awesome theyre making love come ordered hot pepper fries toast chocolate chip food alright really nothing special new waitress ended taking care us much attentive may may not go back,non-sarcastic,neutral
tonya super sweet front desk people helpful,non-sarcastic,very positive
could give place less one star would no idea gave place high reviews must either place time travelers back day place might not sucked decor tired grimy place reeked smoke bartenderserver surly put mildly went saturday night mind try irish food apparently luck ive always thought secrets restaurant success actually stock food people eat told us ordered no pies no chicken pot pie no shepherds pie etc gamely tried order things placed order wife example ordered irish stew came back min later telling us even things several people party point wife picked third option ham cabbage told point realizing food place crusted menus asked pay drinks left actually gave us flack not enough put debit card short unless like dinner side disappointment depression id probably avoid place like plague speaking plague suppose thank mr surly inspiring us walk two bathrooms house wouldve hard pressed accommodate several violently ill people,non-sarcastic,very negative
best irish food burgh great bar food service maybe bit surly not cleanest best decor thats not place town irish bar serves great solid irish fare suds locals better anyone go back,sarcastic,positive
okay hopefully havent enjoying happy hour rileys pour house read might not able follow lilting irish owners nnto recap murphys pour house sullivans pour house paddys pour house bagpipe please rileys pour house opens march still mennits tiny long bar like old irish pubs no smoking allowed hurrah lousy service nnmy guess entire place needs no strike demands automated foodbeverage ticketing system none cooks bartenders waitresses know ordered ticket belongs table actually pretty funny youre not hungry b thirsty nni really really want place better need irish pubs local old time watering holes nnget together murphys er mean mean paddys rileys whatever case cold guinness irish music fun patrons,sarcastic,negative
delivery driver mistakenly rang doorbell confused nnrather taking step back analyzing situation begins accuse wife ordering refusing pay pizzannthe driver gets cell phone rather calling number given order placed begins call bosses starts threatening felony charges nnso take initiative ask fine upstanding gentleman phone number orderer phone neighbor discover mistake rather thank sorry speeds breaking speed limit block reach destination feet awaynni would call complain based reviews clear owners not care carnegie residents pretty well known around town awful food would pointless boycott place id never order favor order establishment town,non-sarcastic,very negative
visit san francisco bay area u want dive go china town san francisco place dirty like chinatown dive best food every tasted came dive food really good group ordered bunch different things good taste prices reasonable dont speak english good got order potatoe fries hoagie salad scrubbed place lady spoke better english star,non-sarcastic,neutral
worst pizza ive ever used coupon paper topping cut sicilian first pizza wasnt even cut sad attempt cutting uneven slices inch wide others toppings scarce used mini pepperoni put maybe whole pizza onions huge chunks mushrooms straight worst part though thick doughy crust tasted like fishy sourdough roll im serious noticeable made wonder dough bad weird reason put fish sauce gross nnwe also ordered steak italian hoagies veggies old wilted no dressing either italian deli meat clearly bottom line not generous steak call greyish instead brown looked like processed meat chopped pieces no flavor seasoning texture reminiscent spam bad ate tossed rest nni ordered past always disappointed thought would give another try since id never ordered sicilian pizza mistake never order,non-sarcastic,very negative
needed alterations done suit quickly like three days quickly not alteration world ready price beyond reasonable work excellent plan bringing clothes onnnoh let know also dryclean wonderful shop,sarcastic,very positive
really looking review ljs fried stuff extra fried stuff cardboard boat regret eating minutes finish delicious,non-sarcastic,neutral
agree paul one stop way home work tonight ni think feel heart yelling gal drive thru window soooo sweet might go back ask marry nbut gave slip survey fill online nmaybe wanted positive response ok sarah b got wheres free coke,non-sarcastic,neutral
far worst unprofessional dentist ever experienced staff busy watching soap operas tvs room instead cleaning gave filling deep could understandable son pictures delivered hawaii stop times pay show whole staff must nice year old go hawaii moms dime patience wait see happen oral surgery tooth removed put filling deep abscessed tooth result wouldnt recommend ex girlfriend someone hate three months extreme tooth pain deal lack care follow even called asked advice follow simply could care less not even offer reschedule appointment prescribing vicodin antibiotics not recommend not go license pulled,non-sarcastic,very negative
moved area dr weinberg recommended cousin client years ive nothing positive experiences staff since seeing two years ago team professional nice courteous recently reschedule appointment due last minute work thing accommodating daughter looks forward coming dentist thats saying something wish would turn fox news lobby id rather watch paint dry nobodys perfect,non-sarcastic,positive
fairness not see dentist schedule appointment waited minutes opennnwhen look yelp reviews usually weed outliers best worst unfortunately two reviewsnnit first time office office admin nice asked come early complete paperwork arrived waited watched employees walk unlocked door not acknowledge mennthe door signage open hours decided leave review staff seemed distracted disinterested office admin nice called inform missing appointment explained many indications not going good fit wished best lucknni recommend see dentist go front door furthest away parking lot recommendation staff walked seemed distracted pointed previous review,sarcastic,very negative
ive office good amount times time receptionists give vibe entitlement uncomfortable dr weinberg nice doubt ability every procedure done teeth backfired third last issue always paid cash end visits somehow received invoice called course receptionist sassy rude gave never go back refer anyone else,non-sarcastic,very negative
restaurant find missing probably favorite restaurant carnegie simple setup small restaurant tables tv oddly enough think favorite thing eat wonton soup never better food average always enjoyed eating great service cheap place get chinese food,non-sarcastic,neutral
take avoid place cost time go starved dont energy cook get edible food kicking,non-sarcastic,very negative
far away real chinese food doesnt even taste good american style chinese food,non-sarcastic,negative
used order takeout every month food tastes average price good typical lowend chinese place nnthe last final time ordered happened picking order health inspector allegheny county health department making rounds waiting food took much longer usual inspector pointing violations also requested copy certificate man behind register unable produce inspector looked like crazy waiting food despite obvious poor conditions nnas rest place always kind dirty inside carpets filthy walls match always childrens toys scattered floor owners children always careful not trip nnthe workers seem like nice people trying make living comes cleanliness lacking,non-sarcastic,negative
went weeknight place not busy waited minutes drinks order taken ordered app came meals another minutes food luke warm best would not go back,sarcastic,very negative
location never disappoints food always consistently great come right time witching hours may see cook singing dancing along music back awesome love place,sarcastic,very positive
belong gym live south section pittsburgh find gym not far staff friendly equipment quite good get two free personal training sessions join lots weights boyfriend uses decent cardio room thing would say increase cardio equipment water bottle,non-sarcastic,positive
bought three month membership last year mainly attend silver sneakers classes early sixties hadnt exercised tried evening classes crowded difficult tried morning class seniors like stretch class actually starts went tail end yoga class women class nasty told wasnt welcome stretch class never went back thanks attitude members didnt feel welcome complained manager said welcome stretch whatever class wanted hostility yoga students evident think private gym,non-sarcastic,negative
like greeted morning gym worker slopping eggs frying instead manager gets getting touch unprofessional gym ever,non-sarcastic,very negative
brought husband parents papa js last time husband pittsburgh parents really picky italian food usually drive places east get capital pop kinda grumbly getting try something new like pulling teeth reason got becuase way drop us dad goes back regularly says lot considering lives nnthe first good sign dad happy seemed impressed open noon days christmas second good sign dad ordered wine pm dad not teetotaler rarely drink pm know anticipating good meal kicker happy left waitress tip meal nncan say live texas still relive afternoon back december chicken perfect dad eggplant rollatini mom pizza hubby basic pasta marinara amazing delicous inexpensive austin cant get decent italian meal much less decent italian meal four peoplenni know many good italian places pittsburgh think back fondly daywhen dad liked someplace took,non-sarcastic,very positive
ive papa js twice mixed times banana pepper appetizer great goes really well fresh delicious bread cheese give start mealnnfor entrees girlfriend mixed experience ive fish sandwich good eggplant parm sandwich okay girlfriend got salad bread basil basil powering bread soggy dressing nnthe service also mixed bag first time server went way take care us even made cocktail sauce fish sandwich second time server lackluster didnt know anything menu wasnt able take proper care us nni would return papa js terrible experience last time isnt enough say would first pick places eat around,non-sarcastic,neutral
wonderful surprise found carnegie pa south pittsburgh town business couple coworkers not great meal night asked one locals recomendation told us try little italian place called papa js boy send us great placennfirst walk place front side windows give fantastic open view kitchen outside stand outside watch chef making wonderful food smell fresh bread even walk doornni not sure long place around kitchen looked well used dining area well bar looked clean modern almost freshly updated nnthe server quick welcome us suggested several different items menu favorites asked three us hungry wanting try different things began margherita pizza absolutely perfect obviously make breads dough pizza dont think pizza could tasted better came bowls italian wedding soup pretty good everything one item probably could done without not bad nothing particularly special nnwe also ordered garlic rolls not bread already give pizza not enough carbs meal die crunchy outside warm chewy inside things meal one guys said pizza sauce would good ordered cup pizza sauce fresh made not right little killer bread balls garlic not good enough dipped pizza sauce even much better nnby time meals came pretty full pushed continued eat veal parmigiano tender good came side pasta tasted try excelent well not eating weeks worth carbs one sitting premeal stuff certainly would finished ate not generous portion veal nnone coworkers chicken picatta said one best ever guy tried pasta dish said good well nnthey great wine selection well reasonable prices glass fantastic experience great food atmosphere dont really know expensive area food coming chicagoland area place pretty reasonable three us ate well average not including fantastic fresh food reasonable price could ask morennmy complaint return chicago craving return papa js hope work sends sometime soon,sarcastic,very positive
yay im fan sometimes service little slow good us visit go papa js every mostly white pizza best white pizza ever order white pizza visit weekend garlic spinach feta cheese usually add veggie top delicious order fried calamari self next time try calamari roman dinning room hardwood floors bright lighting nnthe bar jumping thou never go bar,non-sarcastic,positive
terrible service food unremarkable waiter disappeared minutes serve larger group due staffing mismanagement saved tip discounting meal complained crude unpleasant dining experience guests not repeated never,non-sarcastic,very negative
yay im fan white pizza take nnthe bar jumping picked ordernnthe white pizza garlic spinach feta added veggies tried roman style calamari good better fried calamari last time,non-sarcastic,positive
ok friday night minutes eat driving papa js w says lets stop get quick dinner nnadvice host hurry host advised us minute service place crowded seated last open table however waiter jason said best get time ordered dinner immediately salad glass wine minutes wine seconds salads great homemade italian bread olive oil balsamic dipping finishing salads dinners delivered great job jason fettuccine carbanara good thick cream sauce bacon ricotta minutes good service,sarcastic,positive
great little gem food fantastic food right price italian food amazing not leave without dessert prepared giant serving carrot cake yummy def place everyone try,sarcastic,positive
say write review much regret always loved papa js recent experience changed mind bit nnfrom minute seated greeted server clearly inexperienced didnt know menu said ive papa js good handful times know menu decently well server couldnt explain questions couple new dishes thinking trying swear guy must looked menu first time minutes wasnt knowledge menu one thing another server wife asked glass water times finally got point meal didnt care point mean come restaurant calibre price much ask glass water no one filling waternnmy biggest complaint however happened meals dad ordered trout special trout roasted red peppers lump crabmeat instead meal delivered us trout heaping pile spinach mushrooms not special way item menu regular item whether not mistake made server sure chef knows certain not mention though good server wouldnt served us regardless nnbut think unusal experience due poor server let continue informed server mistake didnt really believe us checked order sheet blamed error chef point meal sitting took us forever flag guy trout basically cold server said would meals remade took meals back kitchen meanwhile course wife mom eating meals dad sitting no meals also keep mind wife still not gotten water asking iced tea refilled soda yes believe not kitchen scrape mistake fish didnt remake anything fish served us little pieces spinach mushrooms sticking quite frankly fish wasnt good honestly would rather fish sandwich mcdonalds night server never anything try make experience better knew werent happy never offered anything dessert house im not looking handout experience plain awful night guy never really even apologized mistake normally may asked manager point ready get plus somewhere else nightnnmy opinion money many restaurants would rather eat,sarcastic,negative
san francisco california visitor liked food local great thinking relocating area liked carnegie u stroll main street hit couple places lunch imagine place would crazy busy friday saturday night ate lunchtime nice,sarcastic,positive
coming get feeling havent changed much tables decorations menu make little worried yesnni ordered mushroom ravioli oily oily actual ravioli okay enough mushrooms oily mention nnambiance like said left much desired dont think id place list musts downtown much better restaurants visit,non-sarcastic,negative
dinner papa js group loved restaurant old brick building large windows felt like neighborhood restaurant saturday night restaurant full not crowded seated room poor acoustics difficult hear people table waitress tried see face repeat specials sides ordered bourbon rocks dinner seemed watered lemon drop made nice bread delicious describe creamy fried zucchini lightly breaded not oily large portion made sliced ordered variety dishes pasta dish dry pasta sauce meat ordered fish special thought delicious shrimp dish enjoyed well chicken marsala pretty good marsala sauce wasnt thick chicken tell deserts homemade tiramisu spumoni small portion meant one nnon whole fence overall impression papa js aok probably best way describe,non-sarcastic,neutral
service place poor lack acknowledgment since people working working nice bar good bread consider place prices really really high nothing served side main dishes,non-sarcastic,negative
terrible serviceterrible foodthis place smells like rotten wet wood,non-sarcastic,very negative
although first impression door charming aroma enticing enter restaurant much improved upon prices asked dining experience group called week ahead seated back far dining room right door clinking pots pans dishes heard throughout meal well darth vader type noise coming ceiling vent waitress not knowledgable menu items three simple requests not come ordered dressing side salad less feta entree no oil another entree waitress blamed cook offer get one entree changed also asked wanted pine nuts feta gorgonzola salad charged extra per item addition salad price brought salad outrageous nthere much possibility ambiance restaurant miss mark service atmosphere likely not return overpriced quality service,non-sarcastic,negative
papa js expensive inconsistent ambiance nice doesnt justify prices better restaurants carnegie,non-sarcastic,negative
pleasantly surprised restaurant came no expectations nni greeted large open garage style window opened whole lounge bar area street modern furnishings staff quite quattro formaggi pizza quite good great balance cheeses not rich crust excellent cant wait come back,sarcastic,positive
absolutely awful service went papa js awhile ago service bad waiter surly rude unhelpful decided try since close stage big mistake greeted dour manager seemed mad reservation minutes get glass wine one hour minutes complained manager still not received entrees said want said busy night tables around us sat empty go back manager give us bill could get away ruined evening bill prepared incorrectly want average food terrible service place never go back,non-sarcastic,very negative
service great apps delish specifically stuffed banana peppers lentil ham soup think chose wrong entree though ordered cod crabmeat special cod completely tasteless crabmeat layed across top reminded boiled fish yuck note self order pasta,non-sarcastic,neutral
love place food always fresh delicious staff always friendly well,non-sarcastic,very positive
spinachfeta cheese salad alfredo penne cake huge piece small portions bnservice b nhost seemed grumpy waitress good got busy nprice pasta portion smallish like dish narrive early saturday night place packed pm,non-sarcastic,positive
looking service great husband veal sausage green pepper appetizer larger size great spicy enough meal stuffed eggplant good sauce could bit heartier would definitely go back really nice atmosphere free parking back,sarcastic,very positive
stopped papa js last friday night round drinks us altogether eaten another restaurant earlier evening one member party walked bar let know sitting couches along wall fairly busy night short time man behind bar looked turn away without saying word notifying anyone else turned waitress approached service area bar asked could server take drink order said yep abruptly turned walked away point asked see manager came minutes later friend told occurred manager said want donnmy friend said apology would good start whereupon manager looked back said get dont come back friend well traveled frequently stays higher end hotels dines quality restaurants not screaming belligerent way shape form simply informing manager occurred nnthat said left went back east previously eaten service fabulous meal drinks creative new restaurants opened carnegie late papa js no longer game town obviously way simple complaint handled management appalling favor frequent restaurants within walking distance papa js understand concept customer service,non-sarcastic,very negative
best chow place bread salads soups great,sarcastic,very positive
finally great italian food pittsburgh not tasteless stuff locals think italiannnthe bread warm fresh bolognese sauce creamy rich unlike restaurants made veal love fresh smell baking bread throughout restaurantnnim looking forward working way menu chicken options next time im saving room dessert display cakes pastries door amazing,sarcastic,very positive
man place gone hill husband went couple weeks ago salads pasta verge inedible single glass wine felt downright robbed price tag seriously could easily made jarred sauce boxed pasta home classico better service pretty absent make even worse seemed knew terrible didnt want deal seriously id rather eat og,non-sarcastic,negative
talk overpriced fairly basic pasta obviously frozen chicken chopped latter terrible thin flabby rather unappealing pasta ok sauce desserts pretty good honestly dish whose price inflated,non-sarcastic,neutral
ive decided stand emmert dental unprofessional rude no clue theyre behind desk not going back nice things say,non-sarcastic,very negative
